epoch,accuracy,loss,val_accuracy,val_loss
0,0.7459636330604553,0.5229381918907166,0.440560519695282,0.8123507499694824
1,0.7846502065658569,0.45886462926864624,0.5631352066993713,9.821666717529297
2,0.7946727871894836,0.43529489636421204,0.48259931802749634,53.978519439697266
3,0.8024334907531738,0.4166156053543091,0.6150292754173279,97.38816833496094
4,0.8098432421684265,0.3921276330947876,0.5648290514945984,308.91851806640625
5,0.8192418813705444,0.37137606739997864,0.440560519695282,0.859435498714447
6,0.8272755742073059,0.35121527314186096,0.4428703486919403,48.68611526489258
7,0.8467748165130615,0.3214449882507324,0.559439480304718,83.35982513427734
8,0.855744481086731,0.30424755811691284,0.4444102346897125,0.7767360210418701
9,0.8661960959434509,0.29134976863861084,0.5392670035362244,57.565834045410156
10,0.8717728853225708,0.2728257179260254,0.5603634119033813,251.7478485107422
11,0.878675639629364,0.26238685846328735,0.44317832589149475,327.21478271484375
12,0.8831994533538818,0.2547668516635895,0.5555897951126099,64.28189849853516
13,0.8893612027168274,0.24192723631858826,0.440560519695282,2992.826904296875
14,0.8946260213851929,0.2321608066558838,0.5642130970954895,5.8122477531433105
