epoch,accuracy,loss,val_accuracy,val_loss
0,0.6528789401054382,0.6198219060897827,0.43532490730285645,0.7142130136489868
1,0.6776518225669861,0.6042744517326355,0.4428703486919403,0.7907816171646118
2,0.7096689343452454,0.5878817439079285,0.43748074769973755,0.7993525266647339
3,0.6545304656028748,0.6212238073348999,0.5685247778892517,0.6839055418968201
4,0.6006305813789368,0.649054229259491,0.4471819996833801,0.6962429881095886
5,0.6021695137023926,0.6456334590911865,0.43825069069862366,0.715196967124939
6,0.6346745491027832,0.6301670074462891,0.5711426138877869,0.6851716637611389
7,0.6783649921417236,0.6061474084854126,0.47012627124786377,0.6942394971847534
8,0.6869229078292847,0.5971654653549194,0.4578072130680084,0.6955984234809875
9,0.7017115950584412,0.5850856900215149,0.44040653109550476,0.7096810340881348
10,0.6757751107215881,0.6051204800605774,0.45164766907691956,0.6928834915161133
11,0.6863223314285278,0.5892647504806519,0.5588235259056091,0.6865730881690979
12,0.7233315706253052,0.5755038857460022,0.5736064314842224,0.686509907245636
13,0.6543803215026855,0.6197059750556946,0.566676914691925,0.6791413426399231
14,0.628593921661377,0.6264733672142029,0.5669848918914795,0.6830917596817017
15,0.6621124744415283,0.6141734719276428,0.5726824998855591,0.6857714056968689
16,0.6753997206687927,0.608191967010498,0.5669848918914795,0.6826511025428772
17,0.642406702041626,0.6132479310035706,0.5756082534790039,0.684078574180603
18,0.6906388401985168,0.5894461870193481,0.5746843218803406,0.6750470995903015
19,0.6531791687011719,0.6109243631362915,0.5652910470962524,0.6811730265617371
20,0.6950679421424866,0.5875011682510376,0.561749279499054,0.6856149435043335
21,0.678928017616272,0.5991834402084351,0.5278719067573547,0.6921802759170532
22,0.6793408989906311,0.5951783061027527,0.570526659488678,0.681222140789032
23,0.6783649921417236,0.5984203219413757,0.5358792543411255,0.6863495111465454
24,0.6517153382301331,0.622645378112793,0.5751463174819946,0.6804512143135071
