frame_begin,frame_end,reaction_time,block_id
20146,20280,441.64,1
20280,20622,386.75,1
20622,20783,347.85,1
20784,21041,571.29,1
21041,21232,329.46,1
21232,21335,407.89,1
21335,21525,307.68,1
21525,21687,356.11,1
21687,21853,505.87,1
21853,22192,263.68,1
22192,22473,314.73,1
22473,22723,295.47,1
22723,23010,520.56,1
23010,23231,357.03,1
23231,23451,308.14,1
23451,23700,281.54,1
23701,23806,481.97,1
23806,24025,262.78,1
24025,24275,293.5,1
24275,24554,283.23,1
24554,24833,264.64,1
24833,25115,351.03,1
25115,25337,337.47,1
25337,25676,286.54,1
25676,25838,346.96,1
25838,25999,324.4,1
25999,26339,321.48,1
26339,26442,376.57,1
26442,26728,498.33,1
26728,26831,374.16,1
26831,26933,382.63,1
26933,27274,321.72,1
27274,27464,293.14,1
27464,27654,321.89,1
27654,27904,286.64,1
27904,28243,269.7,1
28243,28374,334.11,1
28374,28714,319.19,1
28714,28848,434.61,1
28848,28949,345.09,1
28950,29144,447.86,1
29144,29424,315.64,1
29424,29764,309.37,1
29764,29898,413.46,1
29898,30089,336.92,1
30089,30278,252.36,1
30278,30378,326.1,1
30378,30478,320.2,1
30479,30760,348.27,1
30760,30950,290.38,1
30950,31172,343.46,1
31172,31363,346.22,1
31363,31642,261.98,1
31642,31981,269.7,1
31981,32113,371.11,1
32113,32214,356.23,1
32215,32404,278.99,1
32404,32745,338.06,1
32745,32908,424.15,1
32908,33157,268.92,1
33157,33258,322.02,1
33258,33508,286.09,1
33508,33638,302.86,1
33638,33949,348.92,1
33949,34288,261.33,1
34288,34568,292.39,1
34568,34907,290.79,1
34907,35247,288.18,1
35247,35496,274.24,1
35496,35629,379.66,1
35629,35820,340.45,1
35820,36102,367.85,1
36102,36386,434.94,1
36386,36606,310.74,1
36606,36714,541.17,1
36714,36877,412.34,1
36877,37127,293.12,1
37127,37229,387.89,1
37230,37540,318.65,1
37540,37731,342.73,1
37731,37861,292.84,1
37861,37992,329.6,1
37992,38092,320.04,1
121248,121560,374.8,2
121560,121903,398.56,2
121903,122184,339.32,2
122184,122404,331.09,2
122404,122594,278.5,2
122594,122724,307.26,2
122724,122826,387.03,2
122826,123078,369.13,2
123078,123214,486.57,2
123214,123554,297.03,2
123554,123835,314.77,2
123835,123966,366.2,2
123966,124246,309.3,2
124246,124496,273.05,2
124496,124686,310.11,2
124686,124847,329.88,2
124847,124977,300.64,2
124977,125166,269.39,2
125166,125266,298.48,2
125266,125546,308.21,2
125546,125737,352.97,2
125737,126018,312.71,2
126018,126147,276.15,2
126147,126488,323.2,2
126488,126768,290.62,2
126768,127017,284.02,2
127018,127362,443.07,2
127362,127701,291.53,2
127701,128040,270.58,2
128040,128351,341.96,2
128351,128690,291.03,2
128691,128886,484.46,2
128886,129047,333.6,2
129047,129236,284.02,2
129236,129517,322.42,2
129517,129860,399.15,2
129860,130022,371.61,2
130022,130331,279.03,2
130331,130494,420.12,2
130494,130774,289.22,2
130774,131053,271.62,2
131053,131249,504.7,2
131249,131439,313.51,2
131439,131781,338.57,2
131781,132091,331.32,2
132091,132342,339.4,2
132342,132508,486.51,2
132508,132670,371.64,2
132670,132804,437.11,2
132804,132976,696.23,2
132976,133225,277.77,2
133225,133446,342.85,2
133446,133727,326.26,2
133727,133946,290.69,2
133946,134226,309.08,2
134226,134387,333.51,2
134387,134668,321.92,2
134668,135006,254.65,2
135006,135285,262.38,2
135285,135417,387.78,2
135418,135728,322.54,2
135728,136040,378.95,2
136040,136290,301.05,2
136290,136542,333.8,2
136542,136733,357.23,2
136733,137073,321.64,2
137073,137296,398.06,2
137296,137399,397.86,2
137399,137589,302.64,2
137589,137809,291.72,2
137809,137909,300.13,2
137909,138189,313.87,2
138189,138529,302.6,2
138529,138872,393.0,2
138872,139122,326.45,2
139122,139258,505.88,2
193408,193598,294.59,3
193598,193938,312.99,3
193938,194279,341.71,3
194279,194469,321.15,3
194470,194750,325.56,3
194750,194974,417.33,3
194974,195196,357.76,3
195196,195448,385.2,3
195448,195789,328.29,3
195789,195890,354.73,3
195891,195995,435.84,3
195995,196096,334.31,3
196096,196227,341.08,3
196227,196512,476.5,3
196512,196823,339.29,3
196823,197105,367.7,3
197105,197354,270.47,3
197354,197521,523.55,3
197521,197771,296.36,3
197771,198050,286.09,3
198050,198299,268.17,3
198299,198549,289.9,3
198549,198830,371.29,3
198831,199023,405.4,3
199023,199333,291.5,3
199333,199559,484.58,3
199559,199691,369.41,3
199691,199940,292.15,3
199940,200250,302.89,3
200250,200440,303.64,3
200440,200544,435.4,3
200544,200884,312.51,3
200884,201164,304.58,3
201164,201413,273.99,3
201413,201577,419.73,3
201577,201679,378.87,3
201679,201812,387.66,3
201812,202151,306.75,3
202151,202463,348.81,3
202463,202742,268.55,3
202742,202845,421.65,3
202845,202948,408.78,3
202948,203201,365.57,3
203201,203423,370.99,3
203423,203585,368.77,3
203585,203745,325.55,3
203745,204055,306.3,3
204055,204395,292.69,3
204395,204617,373.76,3
204617,204959,369.51,3
204959,205186,535.94,3
205186,205318,374.78,3
205318,205452,428.23,3
205452,205584,367.03,3
205584,205714,308.48,3
205714,205994,313.22,3
205994,206186,365.3,3
206186,206320,430.75,3
206320,206450,289.55,3
206450,206788,272.61,3
206789,206949,334.36,3
206949,207110,333.45,3
207110,207420,294.2,3
207420,207524,413.3,3
207524,207655,320.76,3
207655,207935,313.84,3
207935,208216,313.92,3
208216,208495,290.98,3
208495,208716,344.73,3
208716,209028,363.81,3
209028,209249,310.25,3
209249,209500,330.99,3
209500,209633,409.76,3
209633,209884,334.54,3
209884,209989,452.98,3
209989,210330,352.76,3
210330,210609,271.52,3
210609,210829,301.91,3
210829,211050,327.0,3
211050,211364,427.73,3
