frame_begin,frame_end,response_karolinska
10274,10659,3
32518,32973,4
42685,42876,4
44975,45083,4
51679,51899,4
53343,53415,4
58817,59354,4
62368,62416,4
67560,67619,4
71516,71569,4
94705,95845,4
107147,107275,4
117131,117436,4
127048,127106,4
136283,136396,4
157692,157826,5
