frame_begin,frame_end,reaction_time,block_id
13670,13828,253.92,1
13828,14167,278.3,1
14167,14296,255.06,1
14296,14484,240.8,1
14484,14793,277.5,1
14793,14952,262.59,1
14952,15081,264.0,1
15081,15301,310.39,1
15302,15460,270.16,1
15460,15589,247.57,1
15589,15779,294.3,1
15779,16058,276.04,1
16058,16277,257.78,1
16277,16436,268.19,1
16436,16716,318.25,1
16716,17025,275.65,1
17025,17336,337.39,1
17336,17526,280.81,1
17526,17744,254.55,1
17744,17875,336.62,1
17875,18064,272.04,1
18064,18283,270.45,1
18283,18562,273.51,1
18562,18752,286.91,1
18752,19036,448.32,1
19036,19287,327.77,1
19287,19478,323.2,1
19478,19636,250.96,1
19636,19794,253.37,1
19795,20046,344.75,1
20046,20149,405.87,1
20149,20368,246.98,1
20368,20618,306.37,1
20618,20747,270.46,1
20747,20935,252.54,1
20935,21153,246.6,1
21154,21402,269.99,1
21402,21741,273.71,1
21741,21991,291.78,1
21991,22122,311.88,1
22122,22372,288.62,1
22372,22531,265.7,1
22531,22719,255.78,1
22719,22849,297.85,1
22849,23039,286.61,1
23039,23379,324.0,1
23379,23719,308.73,1
23719,23941,357.81,1
23941,24167,492.24,1
24167,24359,373.72,1
24359,24699,300.81,1
24699,24979,298.55,1
24979,25230,347.95,1
25230,25451,323.04,1
25451,25640,279.14,1
25640,25800,287.22,1
25800,26141,341.6,1
26141,26426,462.03,1
26426,26645,272.49,1
26645,26924,291.54,1
26924,27264,297.94,1
27265,27605,328.34,1
27605,27736,315.12,1
27736,28016,299.18,1
28016,28115,282.95,1
28115,28426,317.68,1
28426,28585,273.44,1
28585,28865,324.49,1
28865,28967,363.59,1
28967,29247,297.69,1
29247,29496,279.1,1
29496,29716,296.83,1
29716,29817,332.6,1
29817,30037,280.35,1
30037,30348,327.09,1
30348,30449,315.86,1
30449,30579,311.29,1
30579,30890,328.04,1
30890,31230,301.1,1
31230,31333,372.22,1
31333,31523,318.31,1
31523,31623,301.42,1
60734,60954,301.1,2
60954,61143,289.86,2
61143,61392,251.26,2
61392,61551,269.67,2
61551,61710,275.41,2
61710,61929,289.82,2
61929,62059,290.57,2
62059,62309,266.3,2
62309,62468,288.05,2
62468,62718,261.46,2
62718,62997,267.85,2
62997,63099,356.28,2
63099,63378,272.03,2
63378,63507,261.45,2
63507,63727,283.2,2
63727,63886,268.27,2
63886,64015,257.02,2
64015,64144,266.11,2
64144,64423,265.17,2
64423,64585,386.9,2
64585,64684,262.36,2
64684,64844,295.45,2
64844,65004,287.86,2
65004,65162,256.95,2
65162,65261,266.69,2
65261,65451,276.76,2
65451,65793,383.83,2
