frame_begin,frame_end,pvt_n_lapses_500ms,pvt_n_lapses_60s,pvt_median_rt,pvt_mean_rt,pvt_mean_log_rt,pvt_mean_slowest_10_percent_rt,pvt_mean_fastest_10_percent_rt
12816,34092,1,0,327.93,337.6359259259259,5.81176274484561,452.65777777777777,277.3344444444444
71916,91053,3,0,360.76,372.3994805194805,5.910327530276923,499.745,312.39666666666665
133103,155611,2,0,346.81,366.0679518072289,5.891439117151374,493.24,304.40200000000004
