frame_begin,frame_end,response_karolinska
13998,14403,7
34038,34385,8
43368,43595,7
46331,46591,7
52041,52238,6
54506,54656,6
60058,60205,8
63728,63856,7
68765,68915,8
72347,72474,8
92600,92742,9
102312,102545,9
111309,111443,9
121842,121923,8
130237,130381,9
149579,149690,9
