frame_begin,frame_end,response_karolinska
8914,9116,8
30936,31080,7
38628,38795,7
40780,40895,7
47375,47462,7
51056,51120,7
57777,57871,6
60216,60281,6
67275,67338,7
71147,71207,7
89868,89994,9
101343,101434,8
112619,112700,8
120980,121054,8
129398,129542,8
158036,158102,8
