frame_begin,frame_end,response_karolinska
8187,8501,7
28153,28443,7
37772,37884,7
39700,39805,7
45044,45095,7
48448,48496,7
53337,53385,7
55187,55228,7
59278,59332,7
62140,62193,7
91053,91117,7
99091,99242,7
109664,109707,7
117139,117178,7
124190,124239,7
146943,147016,7
