frame_begin,frame_end,response_karolinska
11169,11388,3
31958,32154,9
41124,41273,9
45192,45260,9
55080,55138,9
58303,58355,9
70670,70731,9
72423,72481,9
80819,80870,9
82570,82626,9
106127,106182,9
116552,116808,9
125673,125931,9
136438,136590,9
147757,148018,9
168333,168389,9
