frame_begin,frame_end,reaction_time,block_id
14500,14631,344.03,1
14631,14792,346.47,1
14792,15075,388.22,1
15075,15266,325.67,1
15266,15518,373.75,1
15518,15769,324.51,1
15769,15872,434.96,1
15873,16092,298.74,1
16092,16283,311.49,1
16283,16474,351.58,1
16474,16754,295.34,1
16754,16946,352.09,1
16946,17286,307.5,1
17286,17387,355.26,1
17387,17728,327.67,1
17728,18040,372.41,1
18040,18381,348.17,1
18381,18693,360.25,1
18693,18826,397.7,1
18826,19046,294.81,1
19046,19326,307.55,1
19326,19459,395.63,1
19459,19649,320.42,1
19649,19810,336.18,1
19810,19912,374.62,1
19912,20042,296.07,1
20042,20351,286.14,1
20351,20578,511.87,1
20578,20919,329.68,1
20919,21140,348.42,1
21140,21450,280.51,1
21450,21761,370.24,1
21761,22102,325.99,1
22102,22353,334.73,1
22353,22572,274.49,1
22572,22853,312.22,1
22853,22955,355.34,1
22955,23265,302.75,1
23265,23607,376.49,1
23607,23951,398.57,1
23951,24053,362.37,1
24053,24394,338.12,1
24394,24584,341.54,1
24584,24685,331.99,1
24685,24906,327.73,1
24906,25067,338.84,1
25067,25227,297.93,1
25227,25449,347.02,1
25449,25672,410.1,1
25672,25774,345.25,1
25774,26024,327.67,1
26024,26154,294.44,1
26154,26345,315.2,1
26345,26511,510.95,1
26511,26731,303.43,1
26731,27042,336.5,1
27042,27145,374.94,1
27145,27307,371.39,1
27307,27436,284.84,1
27436,27599,381.93,1
27599,27698,266.37,1
27698,27947,273.11,1
27947,28227,320.16,1
28227,28390,406.93,1
28390,28672,364.7,1
28672,28924,359.46,1
28924,29264,298.55,1
29264,29608,424.95,1
29608,29859,337.06,1
29859,30168,289.81,1
30169,30331,378.89,1
30331,30580,271.98,1
30580,30712,361.4,1
30712,30814,357.87,1
30814,31064,325.29,1
31064,31197,360.05,1
31197,31418,334.49,1
31418,31638,306.24,1
31638,31827,295.0,1
31827,32046,276.07,1
32046,32327,319.14,1
32327,32517,314.23,1
87347,87597,291.99,2
87597,87787,296.07,2
87787,88126,282.46,2
88126,88347,340.21,2
88347,88686,273.28,2
88686,88996,288.66,2
88996,89188,390.08,2
89188,89530,372.51,2
89530,89665,449.29,2
89665,89948,392.08,2
89948,90289,330.51,2
90289,90629,323.59,2
90629,90732,362.68,2
90732,90922,304.12,2
90922,91082,312.54,2
91082,91393,332.95,2
91393,91503,615.4,2
91503,91724,331.91,2
91724,91914,307.34,2
91914,92255,320.07,2
92255,92386,342.84,2
92386,92488,364.62,2
92488,92709,339.05,2
92709,92961,359.13,2
92961,93301,311.55,2
93301,93551,300.29,2
93551,93771,301.37,2
93771,93963,357.46,2
93963,94246,409.21,2
94246,94556,306.31,2
94556,94868,364.37,2
94868,95059,357.82,2
95059,95219,308.26,2
95220,95498,265.99,2
95498,95629,310.75,2
95629,95762,378.18,2
95762,96103,333.27,2
96103,96295,356.7,2
96295,96486,345.81,2
96486,96830,433.21,2
96830,97053,417.0,2
97053,97213,288.79,2
97213,97463,302.2,2
97463,97746,387.94,2
97746,97937,357.38,2
97937,98276,289.8,2
98276,98501,447.54,2
98501,98723,390.67,2
98723,99007,400.42,2
99007,99349,361.86,2
99349,99570,348.29,2
99570,99675,466.08,2
99675,99929,452.87,2
99929,100121,347.67,2
100121,100255,429.77,2
100255,100598,398.88,2
100598,100880,392.65,2
100880,101042,369.77,2
101042,101333,688.86,2
101333,101531,561.4,2
101531,101811,299.56,2
101811,102035,436.64,2
102035,102285,268.09,2
102285,102416,373.5,2
102417,102755,265.25,2
102755,102946,323.32,2
102947,103167,306.43,2
103167,103389,374.84,2
103389,103702,389.26,2
103702,103802,317.73,2
103802,104144,370.79,2
104144,104250,487.92,2
104250,104410,305.05,2
104410,104571,333.48,2
104571,104883,369.56,2
104883,105223,309.3,2
145901,146213,380.85,3
146213,146555,375.95,3
146555,146897,367.7,3
146897,146999,384.81,3
146999,147189,278.26,3
147189,147383,443.66,3
147383,147603,310.8,3
147604,147823,290.21,3
147823,147955,370.29,3
147955,148120,444.07,3
148120,148312,381.87,3
148312,148562,287.98,3
148562,148873,334.71,3
148873,149033,305.81,3
149033,149372,291.54,3
149372,149563,340.95,3
149563,149669,503.38,3
149669,149802,366.88,3
149802,150113,333.3,3
150113,150454,326.38,3
150454,150736,382.13,3
150736,150959,407.91,3
150959,151065,479.71,3
151065,151196,340.53,3
151196,151366,639.62,3
151366,151527,342.82,3
151527,151661,437.58,3
151661,151821,312.71,3
151821,152160,270.45,3
152160,152383,424.84,3
152383,152695,353.29,3
152695,152917,360.38,3
152917,153079,366.16,3
153079,153182,386.62,3
153182,153462,328.05,3
153462,153571,578.49,3
153571,153792,311.67,3
153792,153953,331.43,3
153953,154173,307.18,3
154173,154517,433.57,3
154517,154738,353.37,3
154738,155049,328.44,3
155049,155360,329.19,3
155360,155643,421.6,3
155643,155954,327.04,3
155954,156055,309.48,3
156055,156365,326.88,3
156366,156705,303.96,3
156705,156867,348.38,3
156867,157176,263.46,3
157176,157402,481.2,3
157402,157536,434.02,3
157536,157815,306.48,3
157816,158039,411.55,3
158039,158170,339.02,3
158170,158334,430.11,3
158334,158466,387.91,3
158466,158567,328.37,3
158567,158788,332.12,3
158788,158950,351.23,3
158950,159051,320.34,3
159051,159360,297.75,3
159361,159493,384.85,3
159493,159775,363.27,3
159775,159994,281.7,3
159994,160246,347.12,3
160246,160526,278.2,3
160526,160840,412.93,3
160840,161159,634.37,3
161159,161261,356.9,3
161261,161604,397.32,3
161604,161857,409.75,3
161857,162140,374.87,3
162140,162274,459.65,3
162274,162374,301.47,3
162374,162475,341.23,3
162475,162635,312.33,3
162635,162945,281.73,3
162945,163105,322.82,3
163105,163387,351.89,3
163387,163489,357.0,3
163489,163799,295.43,3
163799,163929,323.53,3
