frame_begin,frame_end,response_karolinska
7901,8196,2
28755,29019,4
38472,38575,3
42206,42337,2
49040,49139,2
52697,52761,2
59415,59516,3
61885,61986,2
69542,69608,3
72101,72194,2
93192,93367,4
102121,102265,3
109958,110141,3
118069,118165,3
126729,126824,3
146787,146900,3
