frame_begin,frame_end,reaction_time,block_id
15696,15886,313.23,1
15886,16049,388.32,1
16049,16361,350.08,1
16361,16496,468.18,1
16496,16627,357.67,1
16627,16906,269.42,1
16906,17010,426.5,1
17010,17232,357.64,1
17232,17365,403.75,1
17365,17527,367.54,1
17527,17721,413.63,1
17721,17852,320.44,1
17852,17953,322.89,1
17953,18234,355.96,1
18234,18428,434.06,1
18428,18684,493.18,1
18684,18996,359.32,1
18996,19276,298.4,1
19276,19498,350.83,1
19498,19748,297.25,1
19748,19941,386.0,1
19941,20280,289.08,1
20280,20502,354.17,1
20502,20784,360.91,1
20784,20917,418.37,1
20917,21021,400.84,1
21021,21154,412.96,1
21154,21257,367.43,1
21257,21569,394.86,1
21569,21673,414.65,1
21673,21836,410.44,1
21836,21998,346.25,1
21998,22130,376.36,1
22130,22410,306.78,1
22410,22661,319.52,1
22661,23007,492.26,1
23007,23230,401.41,1
23230,23453,394.52,1
23453,23764,356.62,1
23764,23960,503.39,1
23960,24243,401.19,1
24243,24525,362.95,1
24525,24689,440.73,1
24689,24852,403.87,1
24852,25132,296.62,1
25132,25324,365.39,1
25324,25669,465.14,1
25669,25829,298.93,1
25829,25930,345.7,1
25930,26030,315.48,1
26031,26340,308.89,1
26340,26596,478.29,1
26596,26789,423.77,1
26789,26987,535.23,1
26987,27239,363.39,1
27239,27432,408.48,1
27432,27658,509.59,1
27658,27879,346.08,1
27879,28014,439.53,1
28014,28234,311.32,1
28234,28517,376.39,1
28517,28655,565.18,1
28655,28756,354.37,1
28756,28887,311.81,1
28887,29170,424.88,1
29170,29280,612.02,1
29280,29532,364.87,1
29532,29783,342.63,1
29783,30094,334.72,1
30094,30260,477.81,1
30260,30455,475.29,1
30455,30617,348.43,1
30617,30874,559.19,1
30875,31066,366.03,1
31066,31406,305.78,1
31406,31597,338.54,1
31597,31914,521.61,1
31914,32048,440.11,1
32048,32214,507.24,1
32215,32378,415.06,1
32378,32513,449.87,1
32513,32706,388.67,1
32706,32868,365.11,1
32868,33090,387.56,1
33090,33314,412.67,1
33314,33655,354.43,1
81040,81172,407.91,2
81173,81425,401.35,2
81425,81561,492.46,2
81561,81729,556.96,2
81729,81861,374.47,2
81861,82053,356.57,2
82053,82186,422.68,2
82186,82406,295.13,2
82406,82660,432.53,2
82660,82972,381.32,2
82973,83108,486.1,2
83108,83389,339.57,2
83389,83730,352.64,2
83730,83865,473.74,2
83865,84003,543.22,2
84003,84286,411.05,2
84286,84507,327.5,2
84507,84671,430.59,2
84671,84776,477.07,2
84776,85117,336.2,2
85117,85254,518.3,2
85254,85565,315.76,2
85565,85725,303.53,2
85725,85887,383.95,2
85887,86139,348.39,2
86139,86421,372.14,2
86421,86704,395.24,2
86704,86958,420.01,2
86958,87064,515.14,2
87064,87290,503.63,2
87290,87571,317.44,2
87571,87763,385.52,2
87763,88105,364.62,2
88105,88265,318.39,2
88265,88577,354.78,2
88577,88832,461.22,2
88832,89029,535.36,2
89029,89311,367.17,2
89311,89474,408.95,2
89474,89673,621.73,2
89673,89895,354.25,2
89895,90089,408.35,2
90089,90341,369.14,2
90341,90654,395.55,2
90654,90817,393.0,2
90817,91007,292.13,2
91007,91259,381.54,2
91259,91482,395.31,2
91482,91794,357.4,2
91794,92018,452.5,2
92018,92156,542.65,2
92156,92262,516.49,2
92262,92513,345.3,2
92514,92855,361.72,2
92855,93199,428.47,2
93199,93542,393.57,2
93542,93706,409.36,2
93706,94018,375.46,2
94018,94182,436.24,2
94182,94405,428.03,2
94406,94541,478.83,2
94541,94675,451.64,2
94675,94839,414.12,2
94839,94947,589.24,2
94947,95142,470.76,2
95142,95307,467.58,2
95307,95409,357.71,2
95409,95722,396.14,2
95722,96064,362.57,2
96064,96264,644.67,2
96264,96605,337.19,2
96605,96949,434.26,2
96949,97201,349.71,2
97201,97365,412.15,2
