frame_begin,frame_end,reaction_time,block_id
16092,16252,321.9,1
16252,16443,321.31,1
16443,16573,300.73,1
16573,16793,305.81,1
16793,16983,293.88,1
16984,17084,320.97,1
17084,17365,310.03,1
17365,17614,281.76,1
17614,17954,296.79,1
17954,18236,362.51,1
18236,18486,293.26,1
18486,18825,287.63,1
18825,19046,317.37,1
19046,19210,429.11,1
19210,19521,349.87,1
19521,19862,330.25,1
19862,20113,330.32,1
20113,20365,348.73,1
20365,20676,356.8,1
20676,20779,398.57,1
20779,21121,360.98,1
21121,21431,304.36,1
21431,21741,317.42,1
21741,21843,364.51,1
21843,21945,332.96,1
21945,22285,294.02,1
22285,22475,306.75,1
22475,22816,335.46,1
22816,22920,437.9,1
22920,23170,306.0,1
23170,23330,318.42,1
23330,23492,333.5,1
23492,23593,327.93,1
23593,23904,312.0,1
23904,24068,439.74,1
24068,24259,346.53,1
24259,24360,328.3,1
24360,24611,304.37,1
24611,24951,310.09,1
24951,25146,446.17,1
25146,25486,297.58,1
25486,25678,369.66,1
25678,25808,302.43,1
25808,25939,338.53,1
25939,26070,317.28,1
26070,26381,338.66,1
26381,26512,333.42,1
26512,26643,327.54,1
26643,26982,272.57,1
26982,27113,341.98,1
27113,27304,341.4,1
27304,27645,341.45,1
27645,27776,327.55,1
27776,28118,355.59,1
28118,28338,322.69,1
28338,28620,351.74,1
28620,28816,497.82,1
28816,29007,326.64,1
29007,29320,415.36,1
29320,29453,374.82,1
29453,29737,457.22,1
29737,29840,379.04,1
29840,29941,335.48,1
29941,30070,245.58,1
30070,30170,299.32,1
30170,30301,334.75,1
30301,30461,305.83,1
30461,30650,273.57,1
30650,30960,284.27,1
30960,31068,552.03,1
31068,31379,336.16,1
31379,31542,390.59,1
31542,31765,383.68,1
31765,32074,306.43,1
32074,32294,270.84,1
32294,32633,286.53,1
32633,32913,296.9,1
32913,33224,317.29,1
33224,33506,381.34,1
33506,33696,302.78,1
33696,34037,329.16,1
73053,73155,390.66,2
73155,73286,330.78,2
73287,73538,350.84,2
73538,73758,317.94,2
73758,73950,365.0,2
73950,74111,310.77,2
74111,74213,381.87,2
74213,74434,315.62,2
74434,74747,409.01,2
74747,74909,363.13,2
74909,75222,386.54,2
75222,75416,411.31,2
75416,75666,320.06,2
75666,76007,341.78,2
76007,76293,526.17,2
76294,76634,307.95,2
76634,76975,356.67,2
76975,77257,339.73,2
77257,77567,299.79,2
77567,77788,340.86,2
77788,78039,336.26,2
78039,78381,361.32,2
78381,78543,367.09,2
78543,78704,332.85,2
78704,78865,323.94,2
78865,79086,323.68,2
79086,79340,427.4,2
79340,79561,343.18,2
79561,79695,449.29,2
79696,79856,319.74,2
79856,80168,364.47,2
80168,80330,350.23,2
80330,80582,365.64,2
80582,80833,347.4,2
80833,81084,318.13,2
81084,81424,307.84,2
81424,81705,344.58,2
81705,81837,366.66,2
81837,82029,360.76,2
82029,82373,411.82,2
82373,82716,392.92,2
82716,82999,378.66,2
82999,83131,371.44,2
83131,83233,360.56,2
83233,83394,338.31,2
83394,83705,351.04,2
83705,83896,313.79,2
83896,84178,406.85,2
84179,84340,371.3,2
84340,84652,365.7,2
84652,84904,335.79,2
84904,85218,444.51,2
85218,85352,426.64,2
85352,85483,337.44,2
85483,85674,336.85,2
85674,86016,373.9,2
86016,86148,367.33,2
86148,86283,464.12,2
86283,86625,359.21,2
86625,86967,361.6,2
86967,87278,349.0,2
87279,87412,419.11,2
87412,87603,351.22,2
87603,87946,379.6,2
87946,88108,384.7,2
88108,88449,331.76,2
88449,88618,558.19,2
88618,88843,492.69,2
88843,88976,400.83,2
88976,89138,341.27,2
89138,89479,349.67,2
89479,89760,320.4,2
89760,89891,343.83,2
89891,90089,566.57,2
90089,90255,496.42,2
90255,90599,430.85,2
90599,90942,411.93,2
137604,137947,409.11,3
137947,138169,390.21,3
138169,138330,327.32,3
138330,138490,318.41,3
138490,138622,353.83,3
138622,138729,537.95,3
138730,138950,313.08,3
138950,139290,306.81,3
139290,139572,372.52,3
139572,139706,417.96,3
139706,140051,475.05,3
140051,140244,401.17,3
140244,140409,469.61,3
140409,140690,336.71,3
140690,140911,328.47,3
140911,141164,386.86,3
141164,141446,372.29,3
141446,141637,350.37,3
141637,141918,337.45,3
141918,142111,400.87,3
142111,142393,342.62,3
142393,142585,377.37,3
142585,142777,346.81,3
142777,142879,375.92,3
142880,143162,374.33,3
143162,143266,418.78,3
143266,143606,323.85,3
143606,143827,331.26,3
143827,144048,315.01,3
144048,144153,466.09,3
144153,144495,381.86,3
144495,144715,306.95,3
144715,144936,340.03,3
144936,145219,396.42,3
145219,145562,362.16,3
145562,145696,435.6,3
145696,145890,422.38,3
145890,146142,370.49,3
146142,146452,324.89,3
146452,146554,351.99,3
146554,146714,310.41,3
146714,146939,466.82,3
146939,147250,325.25,3
147250,147591,326.31,3
147591,147873,346.03,3
147873,147975,371.81,3
147975,148199,430.22,3
148199,148509,302.98,3
148509,148822,400.04,3
148822,148983,332.48,3
148983,149203,312.22,3
149203,149304,331.32,3
149304,149435,318.07,3
149435,149715,319.14,3
149715,149966,343.85,3
149966,150277,307.92,3
150277,150477,628.0,3
150477,150580,394.54,3
150580,150860,320.29,3
150860,151020,324.03,3
151020,151301,337.09,3
151301,151553,364.15,3
151553,151745,342.26,3
151745,151906,328.68,3
151906,152036,299.45,3
152036,152320,436.5,3
152320,152452,354.63,3
152452,152582,288.07,3
152582,152923,343.1,3
152923,153053,321.86,3
153053,153304,329.6,3
153304,153467,400.68,3
153467,153598,312.79,3
153598,153729,331.56,3
153729,153981,359.64,3
153981,154321,318.35,3
154321,154425,425.45,3
154425,154677,362.21,3
154677,154962,489.3,3
154962,155183,335.09,3
155183,155318,469.84,3
155318,155421,354.33,3
155421,155611,296.42,3
