frame_begin,frame_end,reaction_time,block_id
15888,16111,407.94,1
16111,16334,374.77,1
16334,16437,391.21,1
16437,16540,403.69,1
16540,16641,318.82,1
16641,16740,285.92,1
16740,16902,326.36,1
16902,17151,302.47,1
17151,17341,307.23,1
17341,17562,320.32,1
17562,17874,365.73,1
17874,18006,387.19,1
18006,18197,327.65,1
18197,18542,448.72,1
18542,18853,344.22,1
18853,19199,500.65,1
19199,19423,401.14,1
19423,19764,331.59,1
19764,20073,291.36,1
20073,20331,557.44,1
20331,20434,398.63,1
20434,20660,491.08,1
20660,20849,272.58,1
20849,21100,343.32,1
21100,21351,310.09,1
21351,21481,305.55,1
21481,21822,335.94,1
21822,22072,311.05,1
22072,22353,312.14,1
22353,22513,306.91,1
22513,22644,327.0,1
22644,22806,366.13,1
22806,22964,255.9,1
22964,23065,309.0,1
23065,23316,309.76,1
23316,23506,293.19,1
23506,23849,411.63,1
23849,24160,319.42,1
24160,24352,330.84,1
24352,24663,330.95,1
24663,24823,298.05,1
24823,25105,347.15,1
25105,25447,346.91,1
25447,25668,317.37,1
25668,25888,293.14,1
25888,26169,333.88,1
26169,26486,513.98,1
26486,26712,477.82,1
26712,26962,291.32,1
26962,27123,323.74,1
27123,27224,314.18,1
27224,27325,328.65,1
27325,27638,393.4,1
27638,27799,309.21,1
27799,28020,319.96,1
28020,28243,404.4,1
28243,28344,319.55,1
28344,28630,516.65,1
28630,28762,351.48,1
28762,29042,282.25,1
29042,29384,381.33,1
29384,29607,386.46,1
29607,29920,379.58,1
29920,30267,530.68,1
30267,30519,382.83,1
30519,30860,317.95,1
30860,31200,331.69,1
31200,31452,351.8,1
31452,31672,302.9,1
31672,31984,380.0,1
31984,32271,518.45,1
32271,32430,269.63,1
32430,32772,357.35,1
32772,33115,397.12,1
33115,33253,557.27,1
33253,33384,334.12,1
33384,33545,309.23,1
33545,33766,328.67,1
33766,33897,347.44,1
74290,74572,366.94,2
74572,74708,496.41,2
74708,74839,360.58,2
74839,74971,362.02,2
74971,75251,308.14,2
75251,75471,301.23,2
75471,75782,323.31,2
75782,76095,399.07,2
76095,76261,519.55,2
76261,76482,336.03,2
76482,76614,350.8,2
76614,76803,289.6,2
76803,77055,359.68,2
77055,77190,449.13,2
77190,77291,350.94,2
77291,77547,518.39,2
77548,77859,355.86,2
77859,78115,519.32,2
78115,78367,326.49,2
78367,78709,363.58,2
78709,78850,669.02,2
78850,78951,330.25,2
78951,79052,344.71,2
79052,79243,351.48,2
79243,79556,399.59,2
79557,79689,363.05,2
79689,79879,301.17,2
79879,80159,310.92,2
80159,80472,382.69,2
80472,80576,455.15,2
80576,80918,366.62,2
80918,81233,454.05,2
81233,81340,527.85,2
81340,81473,390.73,2
81473,81633,315.17,2
81633,81945,372.61,2
81945,82227,383.71,2
82227,82388,327.83,2
82388,82491,382.27,2
82491,82593,390.76,2
82593,82877,425.19,2
82877,83012,444.0,2
