frame_begin,frame_end,response_karolinska
9039,9304,8
28694,28939,9
37637,37854,8
39895,40052,7
47196,47298,8
50583,50658,8
56057,56179,8
59713,59784,8
67339,67419,8
69147,69218,8
94958,95064,8
103551,103719,8
111743,112687,9
121373,121536,9
129792,129878,9
155586,155709,8
