frame_begin,frame_end,reaction_time,block_id
13125,13443,586.96,1
13443,13761,565.81,1
13761,13984,408.32,1
13984,14240,483.45,1
14240,14587,489.94,1
14587,14809,375.09,1
14809,15094,469.54,1
15094,15347,387.69,1
15347,15484,507.82,1
15484,15769,459.33,1
15769,15878,588.47,1
15878,16222,437.99,1
16222,16357,452.14,1
16357,16700,387.94,1
16700,17013,406.72,1
17013,17325,348.18,1
17325,17580,450.96,1
17580,17777,529.78,1
17777,17969,367.62,1
17969,18279,323.06,1
18279,18502,383.48,1
18502,18817,466.25,1
18817,18986,583.42,1
18986,19091,463.95,1
19091,19374,394.43,1
19374,19718,440.87,1
19718,19939,335.67,1
19939,20104,470.78,1
20104,20211,531.95,1
20211,20490,292.44,1
20490,20713,378.2,1
20713,20816,418.66,1
20816,20946,298.12,1
20946,21226,299.89,1
21226,21359,386.32,1
21359,21519,306.79,1
21520,21835,479.2,1
21835,22119,409.69,1
22119,22374,458.48,1
22374,22713,285.62,1
22713,23059,496.71,1
23059,23197,528.2,1
23197,23542,465.36,1
23542,23887,492.17,1
23887,23993,500.0,1
23993,24096,363.84,1
24096,24196,328.96,1
24196,24296,307.41,1
24296,24611,449.5,1
24611,24894,421.3,1
24894,25178,417.76,1
25178,25398,306.22,1
25398,25738,296.64,1
25738,25931,392.39,1
25931,26181,317.86,1
26181,26523,350.95,1
26523,26878,773.71,1
26878,27103,439.63,1
27103,27327,446.12,1
27327,27462,460.26,1
27462,27805,366.4,1
27805,27941,495.87,1
27941,28165,437.02,1
28165,28333,559.5,1
28333,28497,404.7,1
28497,28719,361.16,1
28719,28880,334.94,1
28880,28985,489.39,1
28985,29206,327.21,1
29206,29524,531.3,1
29524,29777,422.47,1
29777,29911,413.29,1
29911,30012,332.43,1
30012,30296,428.86,1
30296,30609,380.99,1
30609,30834,486.77,1
30834,31093,596.92,1
76166,76299,421.49,2
76299,76525,481.29,2
76525,76658,365.44,2
76658,76879,355.89,2
76879,77198,612.0,2
77198,77512,417.51,2
77512,77673,341.33,2
77673,77834,336.43,2
77834,77938,446.87,2
77938,78190,369.35,2
78190,78503,380.78,2
78503,78757,450.9,2
78757,79067,315.05,2
79067,79259,355.14,2
79259,79601,370.91,2
79601,79942,310.68,2
79942,80079,573.12,2
80080,80242,398.97,2
80242,80346,438.78,2
80346,80477,321.58,2
80477,80637,301.35,2
80637,80826,262.11,2
80826,80987,346.86,2
80987,81149,345.31,2
81149,81372,420.41,2
81372,81507,427.23,2
81507,81669,366.37,2
81669,81805,519.83,2
81805,82145,292.64,2
82145,82278,412.75,2
82278,82622,409.88,2
82622,82963,335.66,2
82963,83308,456.74,2
83308,83532,475.89,2
83533,83783,326.7,2
83783,84095,368.12,2
84095,84258,392.91,2
84258,84540,366.7,2
84540,84880,314.46,2
84880,85192,375.89,2
85192,85354,357.01,2
85354,85636,360.78,2
85636,85949,400.22,2
85949,86262,408.34,2
86262,86606,425.47,2
86607,86741,472.28,2
86742,87055,419.75,2
87055,87217,363.55,2
87217,87441,450.0,2
87441,87576,452.15,2
87576,87796,311.3,2
87796,88145,576.04,2
88145,88337,377.56,2
88337,88589,359.68,2
88589,88900,323.12,2
88900,89183,411.55,2
89183,89287,410.7,2
89287,89450,406.5,2
89450,89555,482.3,2
89555,89720,451.45,2
89720,90001,355.26,2
90001,90264,737.7,2
90264,90400,512.6,2
90400,90681,341.76,2
90681,90784,367.56,2
90784,91125,347.31,2
91125,91472,542.75,2
91472,91786,447.58,2
91787,91920,409.73,2
91920,92020,320.86,2
92021,92156,487.64,2
92156,92286,299.47,2
92286,92601,457.56,2
92601,92943,362.03,2
92943,93049,523.15,2
93049,93304,467.98,2
93304,93618,455.45,2
93618,93819,662.26,2
93819,93949,279.81,2
93949,94082,400.58,2
139499,139662,377.76,3
139662,139792,322.55,3
139793,140044,351.31,3
140044,140265,318.42,3
140265,140368,389.53,3
140368,140471,389.99,3
140471,140693,363.78,3
140693,140978,450.89,3
140978,141143,453.37,3
141143,141487,408.84,3
141487,141798,338.95,3
141798,141904,473.4,3
141904,142155,303.54,3
142155,142497,345.3,3
142497,142628,311.42,3
142628,142881,376.18,3
142881,143013,372.96,3
143013,143298,432.09,3
143298,143547,263.21,3
143547,143740,347.64,3
143740,144055,463.74,3
144055,144365,291.21,3
144366,144681,449.95,3
144681,144872,332.76,3
144872,145034,359.88,3
145034,145316,358.64,3
145316,145658,338.42,3
145658,145885,493.52,3
145885,145991,501.36,3
145991,146243,346.84,3
146243,146469,437.29,3
146469,146753,421.1,3
146753,146861,560.24,3
146861,147148,523.42,3
147148,147403,468.23,3
147404,147513,624.4,3
147513,147711,523.94,3
147711,147905,444.11,3
147906,148074,562.58,3
148074,148359,437.75,3
148359,148462,407.57,3
148462,148563,339.37,3
148563,148756,378.81,3
148756,149071,440.59,3
149071,149355,437.05,3
149355,149546,303.53,3
149546,149708,327.3,3
149708,149960,342.73,3
149960,150153,398.17,3
150153,150288,429.64,3
150288,150634,502.77,3
150634,150863,583.93,3
150864,151023,268.47,3
151023,151337,395.86,3
151337,151591,428.32,3
151591,151873,348.78,3
151873,151981,550.57,3
151981,152084,404.42,3
152084,152311,509.55,3
152311,152475,426.04,3
152475,152735,610.84,3
152735,153079,436.69,3
153079,153242,363.84,3
153242,153343,320.29,3
153343,153504,336.07,3
153504,153635,313.85,3
153635,153736,333.95,3
153736,153958,344.72,3
153958,154118,306.17,3
154118,154430,356.25,3
154430,154773,328.03,3
154773,154911,578.81,3
154911,155224,365.64,3
155224,155505,320.76,3
155505,155848,364.84,3
155848,156130,315.28,3
156130,156262,378.73,3
156262,156375,703.19,3
156375,156478,415.09,3
156478,156580,326.24,3
156580,156801,305.34,3
156801,157140,267.76,3
157140,157303,377.51,3
157303,157437,426.31,3
