frame_begin,frame_end,response_karolinska
11220,11645,2
34627,34901,5
43921,44146,5
46630,46746,5
54911,55034,5
59049,59143,5
70055,70127,5
73635,73695,5
82502,82616,6
84588,84677,6
107278,107438,7
117539,117780,7
126178,126587,7
135672,135773,7
143725,143804,7
164366,164473,7
