frame_begin,frame_end,response_karolinska
8295,8379,3
33504,33554,2
38366,38423,1
41412,41453,1
45516,45548,1
47656,47696,1
52154,52201,1
54406,54447,1
58313,58347,1
60061,60114,1
89147,89195,1
97717,97762,1
105998,106110,1
117854,117891,1
124906,124972,2
149190,149241,3
