frame_begin,frame_end,response_karolinska
7691,7945,2
27365,27835,4
34914,35130,4
39435,39557,3
45354,45413,3
48781,48865,3
55171,55256,3
57363,57457,3
62569,62710,5
64507,64599,5
86321,86429,6
95811,95918,6
104833,104928,5
113116,113258,7
121674,121785,6
141844,141971,4
