frame_begin,frame_end,response_karolinska
5682,5930,7
25902,26256,7
31237,31299,6
34935,34995,6
39584,39658,7
42072,42116,7
46811,46859,7
49107,49152,6
53624,53704,7
55537,55594,7
83103,83322,7
92465,92534,6
100428,100576,6
107185,107252,7
117266,117394,5
136647,136729,7
