frame_begin,frame_end,response_karolinska
11374,11782,7
35051,35630,8
45647,46096,7
50692,50897,7
57948,58159,8
63691,63870,7
71235,71364,8
77170,77389,8
85658,85824,9
88522,88663,8
109811,109942,9
121038,121143,9
130762,130852,9
139488,139622,9
148158,148318,9
168309,168413,9
