frame_begin,frame_end,pvt_n_lapses_500ms,pvt_n_lapses_60s,pvt_median_rt,pvt_mean_rt,pvt_mean_log_rt,pvt_mean_slowest_10_percent_rt,pvt_mean_fastest_10_percent_rt
8524,28050,7,0,343.9,371.9951807228916,5.872425299838421,656.0833333333334,254.72400000000002
62221,88864,4,0,287.74,336.16913580246916,5.736679634465355,696.68,222.35888888888888
124260,146831,4,0,300.91499999999996,350.696125,5.780760999019715,769.28875,238.23333333333338
