frame_begin,frame_end,reaction_time,block_id
10051,10180,264.51,1
10180,10310,277.26,1
10310,10528,258.99,1
10528,10718,297.71,1
10718,11057,284.08,1
11057,11217,297.15,1
11217,11407,297.89,1
11407,11656,258.29,1
11656,11845,256.34,1
11845,12123,272.05,1
12123,12245,1029.12,1
12245,12525,292.74,1
12525,12744,249.81,1
12744,12964,320.86,1
12964,13067,399.95,1
13067,13203,492.08,1
13203,13392,273.55,1
13392,13551,291.28,1
13551,13773,344.99,1
13773,13936,426.76,1
13936,14187,322.53,1
14187,14466,263.58,1
14466,14658,365.64,1
14658,14997,273.37,1
14997,15098,362.45,1
15098,15323,444.88,1
15323,15490,527.32,1
15490,15650,298.48,1
15650,15749,282.24,1
15749,16059,296.95,1
16059,16311,333.67,1
16311,16558,232.74,1
16559,16812,432.78,1
16813,16935,1046.59,1
16935,17040,464.59,1
17040,17379,268.36,1
17379,17629,303.07,1
17629,17764,455.15,1
17764,17956,373.93,1
17956,18145,288.03,1
18145,18484,290.08,1
18484,18677,399.47,1
18677,18898,320.57,1
18898,19177,276.62,1
19177,19516,263.65,1
19516,19856,303.34,1
19856,20020,455.76,1
20020,20126,489.56,1
20126,20436,303.67,1
20436,20597,328.09,1
20597,20788,315.5,1
20788,21009,343.9,1
21009,21170,326.33,1
21170,21276,508.76,1
21276,21411,444.25,1
21411,21599,247.04,1
21599,21821,353.09,1
21821,22160,289.47,1
22160,22412,355.53,1
22412,22604,398.29,1
22604,22796,367.06,1
22796,23016,285.48,1
23016,23295,291.85,1
23295,23458,404.93,1
23458,23591,372.39,1
23591,23751,306.15,1
23751,24035,446.86,1
24035,24257,360.98,1
24257,24598,352.71,1
24598,24852,432.11,1
24852,25107,460.22,1
25107,25249,685.69,1
25249,25531,388.2,1
25531,25760,613.96,1
25760,25952,350.14,1
25952,26177,465.22,1
26177,26403,511.67,1
26403,26596,371.15,1
26596,26938,361.87,1
26938,27102,426.98,1
27102,27266,438.1,1
27266,27579,394.86,1
27579,27827,252.29,1
70864,71115,344.9,2
71115,71400,467.65,2
71400,71619,278.09,2
71619,71932,388.81,2
71932,72067,472.91,2
72067,72198,326.39,2
72198,72417,270.13,2
72417,72665,248.84,2
72665,72914,244.22,2
72914,73104,294.93,2
73104,73236,367.03,2
73236,73367,331.81,2
73367,73647,280.2,2
73647,73926,285.57,2
73926,74090,442.65,2
74091,74250,281.11,2
74250,74350,301.53,2
74350,74659,283.57,2
74659,74820,331.65,2
74820,75129,244.37,2
75129,75378,287.74,2
75378,75658,298.13,2
75658,75997,260.5,2
75997,76280,395.55,2
76280,76560,304.3,2
76560,76703,1756.05,2
76703,76982,264.23,2
76982,77231,286.95,2
77232,77414,56.36,2
77414,77573,262.68,2
77573,77703,295.42,2
77703,77863,287.84,2
77863,77961,256.26,2
77961,78240,243.96,2
78240,78579,264.31,2
78579,78857,263.35,2
78857,78959,356.43,2
78959,79269,299.49,2
79269,79518,260.89,2
79518,79707,266.95,2
79707,79843,500.36,2
79843,80032,277.16,2
80032,80251,269.88,2
80251,80418,510.95,2
80418,80667,247.09,2
80667,80769,380.84,2
80769,81079,299.57,2
81079,81301,352.63,2
81301,81437,486.07,2
81437,81656,271.87,2
81656,81965,290.23,2
81965,82245,295.95,2
82245,82494,273.34,2
82494,82713,267.73,2
82713,82932,254.12,2
82932,83032,275.2,2
83032,83371,266.23,2
83371,83709,245.92,2
83709,83960,329.3,2
83960,84092,392.06,2
84092,84224,360.18,2
84224,84356,369.28,2
84356,84545,263.37,2
84545,84645,288.45,2
84645,84894,298.5,2
84894,85174,280.23,2
85174,85454,294.6,2
85454,85703,271.0,2
85703,86011,254.36,2
86011,86291,306.06,2
86291,86600,272.11,2
86600,86756,1185.52,2
86756,87066,276.52,2
87066,87229,420.59,2
87229,87567,234.33,2
87567,87699,357.06,2
87699,87916,236.14,2
87917,88105,275.53,2
88105,88355,278.25,2
88355,88579,447.96,2
88579,88830,319.41,2
128832,128961,290.01,3
128961,129180,247.07,3
129180,129310,313.14,3
129310,129529,245.54,3
129529,129838,276.56,3
129838,130147,255.28,3
130147,130308,317.0,3
130308,130470,384.76,3
130470,130571,349.21,3
130571,130821,292.61,3
130821,131131,290.67,3
131131,131381,312.72,3
131381,131690,274.1,3
131690,131878,256.17,3
131878,132217,248.51,3
132217,132556,247.21,3
132556,132706,977.29,3
132706,132926,2286.58,3
132926,133033,539.65,3
133033,133162,286.48,3
133162,133321,290.56,3
133322,133510,243.95,3
133510,133667,194.34,3
133667,133825,250.72,3
133825,134044,265.76,3
134044,134174,307.17,3
134174,134334,287.59,3
134334,134462,236.32,3
134462,134800,245.36,3
134800,134930,306.76,3
134931,135269,256.12,3
135269,135610,336.48,3
135610,135950,301.53,3
