frame_begin,frame_end,pvt_n_lapses_500ms,pvt_n_lapses_60s,pvt_median_rt,pvt_mean_rt,pvt_mean_log_rt,pvt_mean_slowest_10_percent_rt,pvt_mean_fastest_10_percent_rt
9327,28586,5,0,313.275,345.56275,5.822369639716639,516.30625,268.6166666666667
69259,92678,8,0,320.45,363.19425,5.865665760677383,582.9437499999999,274.6244444444444
129900,154994,4,0,310.53499999999997,327.6404761904762,5.776965354074412,470.53666666666663,265.40700000000004
