frame_begin,frame_end,response_karolinska
9182,9434,3
29934,30034,3
38471,38655,2
41714,41816,2
48608,48699,3
53715,53820,2
60563,60645,2
62799,62889,2
69647,69768,2
74216,74312,2
94127,94253,2
103705,103807,3
111854,111925,3
119330,119392,3
128472,128600,3
147888,147979,2
