frame_begin,frame_end,response_karolinska
9895,10304,6
33482,33765,7
41880,42057,7
46685,46807,7
56103,56165,7
58590,58647,7
65976,66020,6
69323,69387,6
76761,76909,7
78896,78963,7
103253,103478,8
112443,112670,7
120578,120706,8
129375,129548,8
137419,137566,8
157686,157789,7
